PoTAMOGETON PECTINATUS
Passiflora amabilis
Trichomanes reptans
Vicia Bobartii
Primula Vulgaris
Dryopteris patens
TRITICUM repens
PISTIA Stratiotes
Terminalia nitens
Genista tinctoria
Hieracium elegans
PiNGUicuLA ALPiNA
SPIRAEA Douglasii
poterium caudatum
Scabiosa Columbaria
DiANTHUS BARBATUS
Fagopyrum emarginatum
Acer palmatum
Galium erectum
Simethis bicolor
Diospyros longipes
MouRERA FLUviATiLis
POLYPODIUM Thelypteris
TiLLANDSiA HiLAiREANA
Daviesia latifolia
Triglochin maritima
Helleborus trifolius
Cuscuta major
Oxalis magellanica
DARLINGTONIA Californica
Gliricidia maculata
Senecio versicolor
Dactylis glomerata
CORYLOPSIS PAUCIFLORA
Conchocarpus macrophyllus
Veronica Bungabecca
Uncinia tenella
Abies Bridgesii
ANDROSACE pauciflora
Primula Purdomii
IRIS nudicaulis
LoXONIA DISCOLOR
Vieusseuxia aristata
Acorus Calamus
IXIA capitata
Canavalia obtusifolia
Iris tristis
AQUILEGIA Kanaoriensis
CoRYDALis CLAVicuLATA
SuRiANA MARITIMA
Abronia fragrans
TYPHA minor
Aspidium angulare
Lycopodium Selago
Antirrhinum tortuosum
Pyrola Maculata
Hypericum grandifolium
Eritrichium villosum
Alvaradoa amorphoides
Acacia Cavenia
QUERCUS ROBUR
Asclepias vincetoxicum
Medicago prostrata
STAPELIA olivacea
Fritillaria verticillata
Theligonum Cynocrambe
Cornus sericea
Oryza granulata
Betula Alnus
Ranunculus gramineus
Manisuris granularis
Chenopodium fruticosum
Veronica Alpina
Linaria Pelisseriana
COTONEASTER VULGARIS
Lonicera Ledebourii
Oxalis stricta
Cleistanthus Blancoi
Diplotaxis muralis
Linaria spartea
Mimosa adenanthera
Arbutus Menziesii
Cibotium glaucescens
Oxalis rosea
Bromus commutatus
Buphthalmum aquaticum
Lissochilus mediocris
Schizoglossum Grantii
COELOGYNE Swaniana
Priva leptostachya
Linum monogynum
Acacia concinna
Trachytella aspera
Westringia discipulorum
Arctium Lappa
Filago minima
Acalypha indica
Lobelia Plumieri
Haloragis scabra
Bulbophyllum lemniscatoides
Avicennia tomentosa
Saraca arborescens
GREVILLEA alpestris
Hieracium gracilentum
Helichrysum arenarium
PoLYGALA CALCAREA
Bromus littoreus
Abelia adenotricha
Crocus nudiflorus
Abutilon Sellowianum
Seseli Hippomarathrum
GNAPHALIUM margaritaceum
Coronilla stipularis
Casimiroa edulis
Coelogyne Wallichiana
Festuca indigesta
HYPERICUM HUMIFUSUM
Taraxacum devians
Trifolium Juliani
CINERARIA integrifolia
Trifolium montanum
Alstonia villosa
Bridelia stipularis
Lophodium Callipteris
Queria canadensis
CASTANEA VULGARIS
Ficus Muntia
Delphinium pentagynum
Psamma arenaria
Ebenus Cretica
Lathraea squamaria
Uraria crinita
Tulipa Alpina
Polygonum aviculare
Globba albobracteata
Johrenia Engleri
Holcus avenaceus
Encelia stenophylla
Myrsine Urvillei
Dirca palustris
CARYOPHYLLUS aromaticus
Sonchus oleraceus
Draba incana
Lathyrus angustifolius
Philodendron erubescens
Cyclamen vernale
Ariopsis peltata
CoRTiA VAGINATA
Lophodium rigidum
Centaurea sicula
Melaleuca viridiflora
Cerasus Avium
CUPHEA SILENOIDES
Seraphyta multiflora
Cumbia australis
Lepigonum rubrum
Calamagrostis lapponica
Veronica officinalis
Cytinus Hypocistis
Maxillaria squalens
JUNCUS TRIGLUMIS
Brachypodium distachyon
Anthemis anglica
Juncus efFusus
Vicia peregrina
Carex diandra
Jasminum nudiflorum
Allium Triquetrum
Brassica Rapa
Cistus formosus
LILIUM NEILGHERRENSE
Calendula arvensis
Conandron ramondioides
Gilia maculata
CAMPANULA collina
Myrtus brabantica
Platyclinis brevilabrata
ARGYREIA hirsuta
Fadogia fuchsioides
Corylus avellana
CORNUS mas
Leucothoe Davisiae
Campanula Collina
Aloe saponaria
Cnicus benedictus
Cestrum elegans
Lardizabala biternata
SISYRINCHIUM ANGUSTIFOLIUM
Euphorbia Amygdaloides
Stanhopea peruviana
Clematis Davidiana
Aciphylla squarrosa
Acacia Baileyana
Monarda punctata
Carex polygama
Sium latifolium
Linum selaginoides
Grias cauliflora
Aloe cryptopoda
PiMPINELLA MAGNA
RHODODENDRON maximum
Sorbus torminalis
Orixa japonica
Rhamnus Alaternus
Erica abrotanoides
Ixia cinnamomea
LYCOPODIUM clavatum
Euphorbia esula
Caladenia testacea
Lysimachia nummularia
Habenaria stylites
Crinum procerum
Prunus communis
Agropyron campestre
Lavandula pinnata
Casuarina quadrivalvis
Polystachya minutiflora
Hedera pendula
Strelitzia humilis
Quercus Phellos
Hippion filiforme
Cydonia japonica
Datura chlorantha
Linum humile
Euphorbia depauperata
Arctium lappa
Campanula Allionii
Struthiopteris Spicant
Stellaria Holostea
Habenaria intacta
CARPINUS JAPONiCA
Triodia decumbens
Agrostis verticillata
Carlina semiamplexicaulis
Hedycarpus Malayanus
Sida lineata
Viscum glomeratum
Rosa semperflorens
Stimoryne purpurea
Caladium acre
Teucrium campanulatum
Alopecurus bulbosus
Stemodia tomentosa
PANDANUS UNGUIFER
Phlox Kelseyi
Silene rupestris
Arisarum vulgare
Galium Cruciata
Spiraea hypericifolia
Dryopteris nigra
TRIFOLIUM MARITIMUM
Rapistrum rugosum
ToRMENTiLLA officinalis
Quivisia anomala
Cistus surrejanus
Aster maritimus
Asplenium fissum
PoA PRATENsis
Apodytes dimidiata
CYPERUS longus
Verbena aubletia
Euphorbia ceratocarpa
LASTREA SPINULOSA
Senecio aureus
Rhamnus alpina
Teucrium pyrenaicum
SALVIA indica
Bupleurum foliosum
Dendrocalamus sikkimensis
Cerastium atrovirens
Itea Virginica
Senecio concolor
Matricaria chamomilla
ANDROMEDA arborea
Holmskioldia sanguinea
Papaver Hookeri
Homalium tetramerum
Pimpinella Anisum
ARTEMISIA Absinthium
Asplenium comptum
Athamanta Meum
MORINA BETONICOIDES
Streptocarpus Kirkii
Gladiolus ocHRoLEUcus
Dentaria bulbifera
Zamia spiralis
CAMPANULA hederacea
Lophospermum scandens
Catabrosa aquatica
Iris xiphioides
IRIS graminea
Trifolium hybridum
Carduus rivularis
Euphorbia phosphorea
Vatica pallida
Ipomoea stolonifera
Pinus muricata
STAPELIA variegata
Thalictrum elegans
Duvalia angustiloba
Uncinia breviculmis
Zygopetalum Jorisianum
Acacia Kochii
Sedum maximum
Ammi copticum
Cineraria amelloides
Antidesma venosum
Stipa pekinensis
Polemonium caeruleum
Helianthemum tuberaria
Parrya Arctica
Chrysosplenium album
Polystichum Braunii
Aloe pentagona
THALICTRUM majus
SAXIFRAGA Hirculus
Sisymbrium thalianum
SCROPHULARIA aquatica
SALICORNIA annua
Hypericum longistylum
Conyza odorata
Thamnea laxa
VIBURNUM Lantana
Banksia pyriformis
Cystopteris crenata
CENTAUREA nigra
NARCISSUS orientalis
Banksia robur
Barleria buxifolia
Harveya Randii
Euphorbia Atoto
Valeriana sylvestris
Habenaria goodyeroides
Xanthium discolor
MESEMBRYANTHEMUM Elishae
PiNGUicuLA vulgaris
Skimmia Veitchii
Pterocarya stenoptera
PiTTOSPORUM UNDULATUM
Viola Nicolai
PoLYSTicHUM ANGULARE
Viola calcarata
Molinia caerulea
Salix daphnoides
Epilobium purpuratum
Seaforthia patula
ALSINE montana
Anthriscus vulgaris
STEPHANOPHYSUM Baikiei
Elatine alsinastrum
PULMONARIA OFFICINALIS
Pourretia coarctata
Balanophora decurrens
Protea sericea
Lithospermum fruticosum
Drymoglossum piloselloides
HYMENOPHYLLUM UNILATERALE
Farsetia ramosissima
Pyrethrum Indicum
Coronilla montana
Cochlearia micacea
Carex Persoonii
Juncus ranarius
Sison Ammi
Menyanthes sarmentosa
AspiDiuM coRiACEUM
Astrantia maxima
VIOLA CURTISII
lycopodium inundatum
PLANTAGO CYNOPS
Saussurea iodostegia
Nama densa
ODONTOGLOSSUM cirrhosum
Dammara Motleyi
Metrosideros calycina
Triticum pycnanthum
SCILLA campanulata
Parnassia palustris
BiDENS PILOSA
CHIRONIA pulchella
Protea Speciosa
Eranthemum elatum
Vittaria rigida
Viola canina
LEUCOTHOE neriifolia
Wedelia cordata
Velvitsia calycina
Didissandra lanuginosa
Musa lasiocarpa
Serratula depressa
Lysimachia ciliata
Gaudinia fragilis
Phagnalon bicolor
Orobanche Picridis
Omphalodes littoralis
IXIA cinnamomea
Hesperis aintabica
Prunus Padus
BaLLOTA NIGRA
Zingiber Cassumunar
MoRiNA BREViFLORA
Kalanchoe gracilis
EuRYA LATIFOLIA
Quercus cornea
Bromus erectus
Clematis leiocarpa
Nasturtiolum montanum
Andromeda rupestris
Carex vaginata
Habenaria dilatata
Alga marina
Urtica urens
Ceriops Roxburghiana
Doronicum caucasicum
GARDENIA citriodora
Elsholtzia cristata
POA BULBOSA
Craniotome versicolor
Pentanisia cymosa
Aniseia calycina
EMPETRUM nigrum
Aira canescens
NARCISSUS luteus
Hypochaeris radicata
Imperatoria Ostruthium
Cocculus acuminatus
Calathea crocata
Orchis viridis
Brassia Lanceana
Acrostichum conforme
Gastronema clavatum
Ulex europaeus
Centaurium pulchellum
Fritillaria acmopetala
Sedum lancerottense
Pimelea longifolia
Eriochilus autumnalis
Arum spirale
Anemone grandiflora
Selinum angolense
Brunia radiata
Phragmites communis
TRIFOLIUM purpureum
JUNCUS acutiflorus
Biscutella scutulata
Braya ALPINA
Tecoma undulata
Nepenthes Curtisii
Aspidium erosum
Brassia maculata
Cicca disticha
SPARGANIUM NEGLECTUM
Gentiana angulosa
Cineraria campestris
RONDELETIA ODORATA
Pitcairnia corallina
Cerea radicans
Galium boreale
Festuca duriuscula
Salix glauca
Pittosporum Tobira
Conringia alpina
Sida sertum
Epipactis microphylla
Clerodendrum viscosum
Coronilla varia
Androsace ciliata
SINAPIS alba
Iris japonica
Billbergia decora
Veronica Montana
Selaginella latifolia
Spilanthes Acmella
HACQUETIA EPIPACTIS
Sinapis nigra
Stipa Richardsonii
Weigela rosea
Equisetum litorale
Medicago elegans
ERICA Tetralix
JuNCUS cONGLOMERATus
Carduus crispus
Calothamnus gracilis
Mirbelia dilatata
Mappia foetida
Talbotia elegans
Shorea robusta
Priestleya villosa
Valeriana Montana
Nonea lutea
Silene nicaeensis
Bunias orientalis
Silene Fabaria
Turnera angustifolia
ECHINOPSIS CAMPYLACANTHA
Vernonia Petersii
Antennaria triplinervis
Micropodium cardiophyllum
Mentha rubra
Lasiopetalum dasyphyllum
CARDAMINE HIRSUTA
Oxalis cernua
Eriosema violaceum
ALISMA natans
Gladiolus Watsonioides
Armeria chilensis
Physalis Lagascae
EpipactiS palustris
Lepigonum medium
CAREX arenaria
Thalictrum flavum
Bidens fruticosa
Fuchsia macrostemma
Limonium maritimum
Lavatera arborea
SOLIDAGO Virgaurea
Trichilia emetica
GERANIUM PURPUREUM
Perdicium squarrosum
Cassia villosa
Drosera intermedia
Hedysarum microcalyx
Trinia glauca
Calandrinia schistorhiza
Verbascum Blattaria
Cuscuta elatior
Waldemaria argentea
MUSA MANNII
Cypripedium calceolus
Astragalus sinicus
IxoRA emirnensis
Sida ciliaris
Potamogeton interruptus
Herniaria hirsuta
Silene struthioloides
Portulaca psammotropha
Saxifraga afghanica
Carex davalliana
Silene pusilla
Viburnum dentatum
CAREX PENDULA
Telephium Imperati
CoiNocHLAMYs ANGOLANA
Ononis cenisia
Rosa lucida
LYCHNIS orientalis
SYNECHANTHUS fibrosus
Ruellia difformis
Rubus caesius
APHELANDRA variegata
TiLiA coRDATA
Bignonia fulva
Sideritis foetida
Tigridia violacea
Erlangea concinna
Stratiotes aloides
Nunnezharia tenella
Gladiolus Floribundus
Campanula Trachelium
Artemisia campestris
Artemisia vulgaris
Protea cyanoides
Pelargonium odoratum
Conchium salignum
Eugenia maritima
Icica altissima
Melaleuca adnata
POTENTILLA NORVEGICA
Dielytra canadensis
Pavetta hispidula
Eleusine multiflora
Senecio Byzantinus
Lastrea thelypteris
Mirbelia Meisneri
Chenopodium maritimum
Myanthus barbatus
JUNCUS biglumis
Cyrtoceras Lindleyanum
Potamogeton rufescens
SALVIA PRATENSIS
Cotyledon crenata
Othonna scapigera
AcROSTicHUM GRAMiNEUM
Morinda Mudia
Averrhoa acida
Pleurothallis scoparum
Centaurea sempervirens
Juniperus communis
Quercus dentata
Azolla rubra
Cutandia divaricata
LYONIA Jamaicensis
Cytisus SCOparius
Andropogon Nardus
Rubus saxatiliS
Hesperocallis undulata
Veronica Beccabunga
HippEASTRUM franciscanum
Campanula rapunculus
Alchemilla acutidens
Ornithogalum albucoides
Phaius grandiflorus
Paronychia macrosepala
AcHYRANTHEs ASPERA
Lagascea mollis
Ardisia bipinnata
Androstephium breviflorum
Sieglingia decumbens
Delphinium Zalil
Olbia hispida
Catasetum cristatum
Thunbergia collina
Gypsophila cerastioides
genista tinctoria
Carex punctata
Oxalis tenuifolia
Torilis anthriscus
Plantago aquatica
Alsine rupicola
Arnica Greenei
Sisymbrium pinnatifidum
Stylidium androsaceum
Carex fuliginosa
Trifolium pratense
Potentilla comarum
Asteriscus maritimus
Cocculus Balfourii
Nemophila integrifolia
Mesembryanthemum Elishae
Polypodium aristatum
Orchis palmata
Aster patens
BERBERIS vulgaris
Tulipa Gesneriana
Rumex crystallinus
Linum catharticum
Hippuris vulgaris
Thea chinensis
Orchis UStulata
Conocephalus ellipticus
Hieracium piloselloides
Rumex montanus
Potentilla pedata
Psiadia auriculata
Viola tricolor
Monarda fistulosa
Agathis loranthifolia
Scrophularia Aquatica
ILEX AQUIFOLIUM
Lolium siculum
TULIPA breyniana
Galanthus nivalis
OXALIS CORNICULATA
Stenochilus viscosus
Landolphia capensis
Narcissus polyanthos
Sisymbrium austriacum
Arenaria peploides
primula veris
Malva Papaver
Thesium divaricatum
Jasione rosularis
Ananas bracteatus
TYPHA latifolia
Hoya Cumingiana
Kalidium arabicum
Myosotis dissitiflora
Artemisia Hispanica
EUPHRASIA VIGURSII
Euphorbia Hibernica
IMPATIENS repens
Saintpaulia ionantha
Burtonia villosa
Zannichellia palustris
GERANIUM geifolium
Valeriana Pyrenaica
Catasetum Wailesii
Euphorbia hirsuta
Terminalia mollis
Poa flexuosa
Plumbago aphylla
Agrostis nigra
Brodiaea capitata
Calochortus collinus
Trigonella monspeliaca
Koellensteinia ionoptera
SisoN Amomum
Iris Athoa
Erythrina laurifolia
Chrysanthemum Coccineum
Argyreia hirsuta
Razumovia hispida
Menyanthes ovata
Arnica scorpioides
Nonea pulla
BEGONIA heracleifolia
Scutellaria alpina
Andromeda Polifolia
Chrysanthemum inodorum
Convallaria multiflora
Dendrobium chrysocephalum
Symphytum tauricum
BiDENS cernua
JUSTICIA crenata
Rumex Patientia
Cochlearia Anglica
CAREX pallescens
Pelargonium oppositifolium
RANUNCULUS acris
Ficus oppositifolia
VERTICORDIA nitens
Myrsine capitellata
Pleioceras Talbotii
Specularia hybrida
ATRIPLEX patula
RuBus PARADOXUS
Mallotopus japonicus
Trifolium ornithopodioides
Pelargonium Ceratophyllum
Lycium afrum
Woodsia hyperborea
Gnidia katangensis
Geranium Lamberti
Lantana crocea
Saussurea americana
ASPLENIUM Adiantum-nigrum
Cyathea Smithii
ONOPORDUM Acanthium
Rosmarinus officinalis
Erica Mediterranea
Asplenium ebenoides
Lupinus linifolius
Calluna vulgaris
Viburnum Tinus
Hedypnois polymorpha
Valeriana montana
Crucianella stylosa
Sesleria disticha
Cylista albiflora
Pomaderris apetala
Asplenium hirtum
Epilobium collinum
Polypodium Thelypteris
Primula Vilmoriniana
Passerina hirsuta
Sida rhombifolia
Physalis tuberosa
Antirrhinum Asarina
Phalaris paradoxa
Digitalis purpurea
Scrophularia Scorodonia
Lythrum salicaria
BRIZA minor
Sida Greveana
Arenaria austriaca
MAGNOLIA auricularis
Xylopia Pierrei
Puya suberosa
Asarum Virginicum
Arctium minus
Pinus sylvestris
Stellaria cerastoides
Fragaria chiloensis
IXIA violacea
Epilobium tetragonum
Lycopus europaeus
Fagus Sylvatica
LuzuLA SYLVATICA
Indigofera retrusa
LYCOPODIUM COMPLANATUM
Blechnum alpinum
DIANTHUS prolifer
CoNVALLARiA MAJALis
Smeathmannia laevigata
Centaurea jacea
Xanthium Strumarium
JUSTICIA montana
Anthoxanthum odoratum
Cypripedium dilectum
Amaranthus prostratus
Malvella Sherardiana
Morettia philaeana
Metrosideros lucida
Pelargonium Quinatum
JuNGiA spectabilis
RIBES nigrum
Rheum undulatum
Fumaria capreolata
Impatiens amphorata
Melissa rotundifolia
PACHYSTIGMA pteleoides
Linum Catharticum
Melhania incana
Stenoglottis longifolia
Polystichum Lonchitis
Alnus oxyacanthifolia
Yucca constricta
Actinocarpus Damasonium
Tephrosia villosa
Orobus pyrenaicus
Vanda Kimballiana
Caryophyllata vulgaris
Orontium japonicum
Hibiscus esculentus
Begonia sanguinea
Uvularia amplexifolia
Sciuris simplicifolia
Herniaria diandra
Polystachya pleistantha
EQUISETUM variegatum
Milium effusum
Ranunculus fluitans
Saxifraga stellaris
Adiantum reniforme
CALAMINTHA NEPETA
Polymnia Uvedalia
Galax aphylla
Mespilus canadensis
Salix aurita
Stapelia Vetula
CaTABROSA AQUATICA
Gnaphalium Gaudichaudianum
PRIMULA Stuartii
Satyrium hircinum
Salvia strictiflora
Taraxacum udum
VERONICA agrestis
TRAGOPOGON porrifolius
Carex filiformis
Calamintha sylvatica
Phalaris paniculata
Viola spectabilis
Polypodium Annabellae
Cissus quinquefolia
AGAVE Besseriana
Unona pannosa
Morina betonicoides
Amaryllis Humilis
Sedum rupestre
Brunia sacculata
Artemisia Absinthium
Thesium linophyllum
EuoNYMus MACROcARPus
Mentha ciliata
Arenaria Norvegica
Androsace strigillosa
Gompholobium ellipticum
Euphorbia Characias
Ferula galbaniflua
Guettarda speciosa
Utricularia VULGARIS
Vicia glauca
Oncidium endocharis
NicoTiANA Tabacum
Senecio sylvaticus
Crotalaria incana
Vicia faba
Impatiens racemosa
NARCISSUS POETICUS
Crinum toxicarium
CoccuLUS sepium
Solanum flexuosum
Magnolia glauca
DiPLOTAXIS MURALIS
Ulmus Plotii
Calamagrostis hyperborea
Sida indica
Solanum agreste
Aralia edulis
Dichorisandra leucophthalmos
Hieracium Silhetense
Malva fragrans
Aquilegia oxysepala
Ammi Visnaga
Pilocereus senilis
TACHIADENUS carinatus
TRIFOLIUM repens
Parietaria diffusa
Sagina saxatilis
Ranunculus philonotis
Nauclea Gambir
SCUTELLARIA macrantha
Dryobalanops Schefferi
Lilium auratum
Polygonum laxum
Buda marina
ixora barbata
Potentilla argentea
Luciola congesta
Ulex strictus
Euphorbia Peplus
Cynoctonum lycioides
Punica nana
Margaris barbigera
Phleum pratense
CHELIDONIUM majus
Begonia nana
Pyrola uniflora
Justicia betonicoides
POA GLAUCA
Pleopeltis nuda
Poa foliosa
Iris brachycuspis
POTENTILLA tridentata
Filago Jussiaei
Nepenthes Burkei
Asclepias fruticosa
Veronica decussata
GALANTHUS nivalis
terminalia Catappa
Atraphaxis spinosa
Gethyllis spiralis
ARTEMISIA maritima
Fatsia Japonica
Hyssopus officinalis
Epacris juniperina
Scirpus fluitans
Cryptocarya acuminata
Plantago lagopus
Cassia biflora
Schinzafra uniflora
Carex Goodenowii
Pegia nitida
Lavatera eriocalyx
Sideroxylon Manglillo
Pinus brachyptera
Melampyrum cristatum
Crataegus Oxyacantha
Stellaria Boraeana
Ranunculus flabellatus
Chlorophytum Haygarthii
Udora verticillata
Rhynchospora fusca
SOPHORA VICIIFOLIA
Aster alpinus
ILLECEBRUM verticillatum
Senecio Cineraria
Hypocyrta strigillosa
Polypodium Dryopteris
Genista sylvestris
Erica flava
Abutilon ramiflorum
Dendrobium Jonesii
Echinaria capitata
Lysimachia verticillata
Viscum laxum
Pyrola media
Saraca indica
Androsace pennina
Codonopsis convolvulacea
Phillyrea media
Anhalonium prismaticum
Clitoria Galactia
Polypodium alpestre
Renanthera coccinea
Pycreus debilissimus
ORCHIS latifolia
Nama jamaicensis
Orchis Myodes
Euphrasia Vigursii
Potamogeton crispus
Zornia diphylla
Thrixspermum Berkeleyi
Orobanche Hederae
Pelargonium australe
Tricalysia Bagshawei
Najas arguta
Ptychosperma rupicola
Ephedra fragilis
Iris susiana
Vanda Amesiana
Picea canadensis
Tunica prolifera
Bromus japonicus
PAVONIA MULTIFLORA
Psoralea aphylla
Corallorhiza innata
Koelpinia scaberrima
Castanea concinna
Sedum variicolor
Anthemis arvensis
Pinguicula Lusitanica
Setaria latiglumis
Drimiopsis perfoliata
Blumea Bovei
Gratiola latifolia
Aphyllanthes monspeliensis
Kyllinga aromatica
Diplotaxis erucoides
Aconitum Napellus
Crassula pallida
Dianthus squarrosus
Meum athamanticum
Eurya Japonica
Crocodilodes Zeyheri
Orchis muscifera
Gentiana bavarica
Hypericum linariifolium
Spartina versicolor
Atriplex Halimus
eriophorum latifolium
ROUPELLIA GRATA
Bromus glomeratus
Gentiana campestris
Salvia longistyla
IXIA Bulbocodium
Sagina nodosa
Tillandsia Benthamiana
Zingiber spectabile
Ribes fuchsioides
Smithia hirsuta
Chionothrix latifolia
Alyssum incanum
Enterosora Fawcettii
Polystachya bracteosa
Fatoua japonica
Astragalus epiglottis
Deidamia Thompsoniana
Cladium Durandoi
MiMULUS moschatus
plantago aquatica
Cedrela Toona
Poa Pringlei
Urtica radicans
CAMPANULA rotundifolia
Boea Hancei
SOBRALIA MACRANTHA
Berkheya maritima
Adenium obesum
Hindsia violacea
Nardosmia fragrans
Corylus Avellana
LoNicERA Caprifolium
Oxys alba
COMOCLADIA integrifolia
Fuchsia pubescens
Monotropa hypopitys
Herminium Monorchis
Abies Hookeriana
ASTRAGALOIDES alpina
ECHIDNOPSIS CEREIFORMIS
Medicago minima
Podolasia stipitata
Impatiens noli-me-tangere
Poa persica
CYNOGLOSSUM officinale
Satyrium calceatum
Sambucus ebulus
Laurus indica
Lemna arrhiza
Hieracium pulmonarioides
Sagina subulata
Aleurites Fordii
Dichrostachys unijuga
Epilobium virgatum
Verbascum pulverulentum
Coronilla valentina
Caucalis anthriscus
Polygonum lapathifolium
Asclepias Cornuti
Restrepia pandurata
Euphorbia Neriifolia
Samolus porosus
Cuphea silenoides
FeSTUCA rubra
Piaranthus grivanus
Potamogeton javanicus
ORCHIS militaris
Ornithogalum comosum
Troximon marginatum
Erica Resinosa
Rhododendron sinense
LYCHNIS alpina
Morus indica
Phagnalon saxatile
Viola sabulosa
Wisteria speciosa
CAREX STRIGOSA
Mimosa Mexicana
Microlonchus salmanticus
Equisetum palustre
HiPPOPHAE RHAMNOIDES
Maxillaria Kalbreyeri
AGROSTEMMA Githago
Triumfetta trichocarpa
Massonia amygdalina
CAREX DIVISA
Nephrodium spinulosum
Asclepias pinifolia
Tamarix nilotica
Galium sylvaticum
Cynara horrida
Epidendrum tetragonum
Adonis capensis
Plantago Montana
Arabis Halleri
Amomum alboviolaceum
Poa pulchella
Impatiens Noli-me-Tangere
LINUM trigynum
Atractylis humilis
QuERCus Robur
ROSA INODORA
FUMARIA DENSIFLORA
Viola mirabilis
Myosotis suaveolens
Stylidium setigerum
ScLERANTHUS ANNUUS
Pogonia Barklyana
Aspalathus Simii
Silaus pratensis
Cousinia tenella
Eleocharis palustris
Copaifera Mopane
Primula scotica
Eriophorum pubescens
Elaeagnus acuminata
Alstroemeria aurea
Polystichum aristatum
PYRUS japonica
Cargillia australis
Hypericum montanum
Mikania Guaco
Massonia Pustulata
ALLIUM Schoenoprasum
Echinocactus Joadii
Rivea hirsuta
Scalesia incisa
Smythea Dupontii
Helianthemum Chamaecistus
Symphonia clusioides
Hypericum pyramidatum
Viguiera lanceolata
Farsetia incana
Nepeta tuberosa
LUPINUS LITTORALIS
Chorizanthe membranacea
Eucalyptus citriodora
Oenanthe Lachenalii
Camaridium parviflorum
Daucus hispidus
Guilandina Bonduc
Minuartia tenuifolia
afzelia bijuga
Portlandia grandiflora
Orchis Mascula
ROSA ARVATICA
Alopecurus alpinus
Clypeola aspera
Gnaphalium gallicum
Bunium fallax
Hydrolea spinosa
SoNCHUS ASPER
Triodia macquariensis
Metroxylon Sagu
Viola alpina
Xysmalobium rhodesianum
Dichopsis Gutta
TECOMA GRANDIFLORA
Myagrum perenne
LuzuLA ARCUATA
Berberis repens
AruM bulbiferum
Anthemis tinctoria
Artemisia gallica
Arthrocnemum Arbuscula
Inula Helenium
Medicago Gaditana
CHRYSANTHEMUM coccineum
STRUTHIOLA rubra
ALsine montana
Zizania aquatica
Gentiana pneumonanthe
SANTOLINA maritima
UTRICULARIA minor
Mascarenhasia macrocalyx
Viola amoena
MoNODORA ANGOLENsis
Veronica nummularia
Helianthemum Tuberaria
Arabis hirsuta
Gnaphalium arenarium
SCIRPUS glaucus
Digitalis Dasyantha
Tetratheca juncea
Heliotropium strigosum
Tripterella capitata
Pavetta CafFra
NOTHOFAGUS Cunninghamii
Galium MollugO
Sophia andrenarum
Ignatia amara
Saxifraga Valdensis
Bromus squarrosus
Garnotia stricta
ALLIUM fragrans
Hibiscus floccosus
Althaea rosea
Carex vulgaris
Gladiolus antholyzoides
Wahlenbergia saxicola
Cotyledon atropurpurea
Cornus Kousa
Agrostis Alba
Viola ericetorum
Bromus madritensis
Debregeasia edulis
Buxus sempervirens
Daphne laureola
Nephrodium bibrachiatum
Prismatocarpus hybridus
Xanthorrhoea Tateana
Psiadia incana
Satyrium niloticum
Laurus Camphora
ACHYRANTHES porrigens
Neuberia longifolia
Rhus Cotinus
EvoLVULUs GLABRiuscuLus
Dregea sinensis
Aneilema ochraceum
Pyrola rotundifoLia
Primula Allionii
Narthecium glutinosum
Lathyrus Parisiensis
Arundo neglecta
Carduus dissectus
ASPLENIUM AdIANTUM-NIGRUM
Matricaria discoidea
Burtonia conferta
Jaborosa runcinata
Stachys Betonica
Abelia chinensis
Zephyranthes cardinalis
Malva simpliciuscula
Cephaelis emetica
Tridax procumbens
Gagea Lutea
Sechium edule
PAPAVER pilosum
Piper herbaceum
POA REMOTIFLORA
Santolina Africana
Eutoca multiflora
Conopodium denudatum
Appendicula Peyeriana
Massonia odorata
Asperula taurina
Astragalus spicatus
Alsine graminifolia
Pyrus arbutifolia
LoLiuM TEMULENTUM
Hypericum hirsutum
Hydrangea nivea
Rhynchoglossum Zeylanicum
Festuca decumbens
Lonicera pyrenaica
Carex axillaris
Schinus Molle
NICOTIANA undulata
Tillandsia pulchella
Linum Betsiliense
StATICE MARITIMA
Mallotus nitidus
Polypodium crenatum
Echium plantagineum
Rubus opacus
ONOSMA taurica
Pterocarpus tinctorius
Hesperis Pallasii
Ranunculus sceleratus
Nyssa biflora
Thyrsacanthus bracteolatus
Erica jasminiflora
Solidago Virgaurea
Muscari comosum
Stapelia Leendertziae
Coelogyne brachyptera
Arctostaphylos nitida
POTAMOGETON RUTILUS
Platanus macrophylla
Antirrhinum cordatum
Valeriana saxatilis
Protea saligna
Oreodaphne bullata
Calliandra Guildingii
Antirrhinum Cymbalaria
Caulotretus heterophyllus
Juglans cinerea
Oncidium bicornutum
MyriophyllUm spicatum
Ranunculus auricomus
Sagina stricta
Millettia macrostachya
Salacia dentata
Alopecurus pratensis
WATSONIA aletroides
Asplenium ambiguum
Podanthum aurasiacum
Onosma sibirica
Laurus Cinnamomum
Sagina nivalis
Airopsis globosa
Vicia lathyroides
Coix Lacryma
Pyrenacantha sylvestris
CUPHEA Jorullensis
Hewardia adiantoides
DiCKSONIA CULCITA
CARDAMINE PRATENSIS
Mucuna sempervirens
Disa Stairsii
Blitum rubrum
Linaria viscosa
Epilobium melanocaulon
PONTEDERIA AZUREA
Bryonia heterophylla
Meconopsis Wallichii
Wahlenbergia brachycarpa
SIEGLINGIA DECUMBENS
Salix viminalis
